Population Definition Reported,Cell Number Unit,Count,Unique_Studies,Unique_Patients,Unique_Timepoints,Timepoints_List,Study_IDs_List,Normalized_Definition
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5+"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD3+, CD4+, CD45RA-, CD8-, CXCR5+"
"CD3+, CD4+, CD8-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD3+, CD4+, CD8-"
CD3+,cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,CD3+
"CD19+, CD3-, CD14-, CD38+, CD24+, HLADR+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14-, CD19+, CD24+, CD3-, CD38+, HLA-DR+"
"CD19+, CD3-, CD14-, CD38+, CD24+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14-, CD19+, CD24+, CD3-, CD38+"
"CD19+, CD3-, CD14-, CD38+, CD20-, HLADR+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14-, CD19+, CD20-, CD3-, CD38+, HLA-DR+"
"CD19+, CD3-, CD14-, CD27-, IgD-, HLADR+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14-, CD19+, CD27-, CD3-, HLA-DR+, IgD-"
"CD19+, CD3-, CD14-, CD38+, CD20-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14-, CD19+, CD20-, CD3-, CD38+"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5+"
"CD19+, CD3-, CD14-, CD27-, IgD-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14-, CD19+, CD27-, CD3-, IgD-"
"CD19+, CD3-, CD14-, CD27-, IgD+, HLADR+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"B_naive, CD14-, CD19+, CD27-, CD3-, HLA-DR+, IgD+"
"CD19+, CD3-, CD14-, CD27-, IgD+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"B_naive, CD14-, CD19+, CD27-, CD3-, IgD+"
"CD19+, CD3-, CD14-, CD27+, IgD-, HLADR+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"B_switched_memory, CD14-, CD19+, CD27+, CD3-, HLA-DR+, IgD-"
"CD19+, CD3-, CD14-, CD27+, IgD-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"B_switched_memory, CD14-, CD19+, CD27+, CD3-, IgD-"
"CD19+, CD3-, CD14-, CD27+, IgD+, HLADR+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"B_unswitched_memory, CD14-, CD19+, CD27+, CD3-, HLA-DR+, IgD+"
"CD19+, CD3-, CD14-, CD27+, IgD+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"B_unswitched_memory, CD14-, CD19+, CD27+, CD3-, IgD+"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6+, ICOS+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5+, ICOS+"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6-, HLA-DR+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5+, HLA-DR+"
"CD19+, CD3-, CD14-, CD27+, CD138+, HLADR+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD138+, CD14-, CD19+, CD27+, CD3-, HLA-DR+"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6+, HLA-DR+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5-, HLA-DR+"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6-, HLA-DR+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5-, HLA-DR+"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5-"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6+, ICOS+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5-, ICOS+"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6+, HLA-DR+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5-, HLA-DR+"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5-"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6-, ICOS+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5-, ICOS+"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6-, HLA-DR+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5-, HLA-DR+"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5-"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6+, ICOS+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5-, ICOS+"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3+, CCR6+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5-"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6-, ICOS+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5+, ICOS+"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD3+, CD4+, CD45RA-, CD8-, CXCR5-"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, ICOS+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD3+, CD4+, CD45RA-, CD8-, CXCR5+, ICOS+"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, HLA-DR+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD3+, CD4+, CD45RA-, CD8-, CXCR5+, HLA-DR+"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6-, ICOS+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5+, ICOS+"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6-, HLA-DR+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5+, HLA-DR+"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5+"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6+, ICOS+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5+, ICOS+"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6+, HLA-DR+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5+, HLA-DR+"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5+"
"CD19+, CD3-, CD14-, CD27+, HLADR+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14-, CD19+, CD27+, CD3-, HLA-DR+"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, HLA-DR+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD3+, CD4+, CD45RA-, CD8-, CXCR5-, HLA-DR+"
"CD19+, CD3-, CD14-, CD27+, CD138+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD138+, CD14-, CD19+, CD27+, CD3-"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6-, ICOS+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5-, ICOS+"
"CD14+, HLA-DR+, CD16-, CX3CR1+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14+, CD16-, CX3CR1+, HLA-DR+"
"CD14+, HLA-DR+, CD16-, CD86-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14+, CD16-, CD86-, HLA-DR+"
"CD14+, HLA-DR+, CD16-, CD86+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14+, CD16-, CD86+, HLA-DR+"
"CD14+, HLA-DR+, CD16-, CD62L-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14+, CD16-, CD62L-, HLA-DR+"
"CD14+, HLA-DR+, CD16-, CD62L+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14+, CD16-, CD62L+, HLA-DR+"
"CD14+, HLA-DR+, CD16-, CD11b-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11b-, CD14+, CD16-, HLA-DR+"
"CD14+, HLA-DR+, CD16-, CD11b+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11b+, CD14+, CD16-, HLA-DR+"
"CD14+, HLA-DR+, CD16-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14+, CD16-, HLA-DR+"
"CD14+, HLA-DR+, CD16+, SLAN-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14+, CD16+, HLA-DR+, SLAN-"
"CD14+, HLA-DR+, CD16+, SLAN+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14+, CD16+, HLA-DR+, SLAN+"
"CD14+, HLA-DR+, CD16+, CX3CR1-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14+, CD16+, CX3CR1-, HLA-DR+"
"CD14+, HLA-DR+, CD16+, CX3CR1+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14+, CD16+, CX3CR1+, HLA-DR+"
"CD14+, HLA-DR+, CD16+, CD86-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14+, CD16+, CD86-, HLA-DR+"
"CD14+, HLA-DR+, CD16+, CD86+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14+, CD16+, CD86+, HLA-DR+"
"CD14+, HLA-DR+, CD16+, CD62L-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14+, CD16+, CD62L-, HLA-DR+"
"CD14+, HLA-DR+, CD16+, CD62L+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14+, CD16+, CD62L+, HLA-DR+"
"CD14+, HLA-DR+, CD16+, CD11b-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11b-, CD14+, CD16+, HLA-DR+"
"CD14+, HLA-DR+, CD16+, CD11b+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11b+, CD14+, CD16+, HLA-DR+"
"CD14+, HLA-DR+, CD16+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14+, CD16+, HLA-DR+"
"CD14+, HLA-DR+, CD16-, CX3CR1-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14+, CD16-, CX3CR1-, HLA-DR+"
"CD14+, HLA-DR+, CD16-, SLAN+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14+, CD16-, HLA-DR+, SLAN+"
"CD14+, HLA-DR+, CD16-, SLAN-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14+, CD16-, HLA-DR+, SLAN-"
"CD16hi, CD11b+ grans",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11b+, CD16+, gran"
"CD19+, CD3-, CD14-, CD20-, HLADR+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14-, CD19+, CD20-, CD3-, HLA-DR+"
"CD19+, CD3-, CD14-, CD20-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14-, CD19+, CD20-, CD3-"
"CD19+, CD3-, CD14-, CD20+, HLADR+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14-, CD19+, CD20+, CD3-, HLA-DR+"
"CD19+, CD3-, CD14-, CD20+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14-, CD19+, CD20+, CD3-"
"CD19+, CD3-, CD14-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14-, CD19+, CD3-"
"CD16lo, CD11b- grans",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11b-, CD16+, gran"
"CD16lo, CD11b+ grans",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11b+, CD16+, gran"
"CD16hi, CD11b- grans",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11b-, CD16+, gran"
CD16- grans,cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD16-, gran"
"CD14+, HLA-DR+, CD40+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14+, CD40+, HLA-DR+"
"CD16+, CD62L- grans",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD16+, CD62L-, gran"
CD16+ grans,cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD16+, gran"
"CD14lo, HLA-DR+, CD16-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14+, CD16-, HLA-DR+"
"CD14lo, HLA-DR+, CD16+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14+, CD16+, HLA-DR+"
"CD14+, HLA-DRlo, CD16-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14+, CD16-, HLA-DR+"
"CD14+, HLA-DRlo, CD16+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14+, CD16+, HLA-DR+"
"CD14+, HLA-DRhi, CD16-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14+, CD16-, HLA-DR+"
"CD14+, HLA-DRhi CD16+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14+, CD16+, HLA-DR+"
"CD19+, CD3-, CD14-, CD27+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14-, CD19+, CD27+, CD3-"
"CD14+, HLA-DR+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD14+, HLA-DR+"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD86-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c+, CD141-, CD1c+, CD303-, CD86-, HLA-DR+, Lin1-, mDC1"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD86+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c+, CD141-, CD1c+, CD303-, CD86+, HLA-DR+, Lin1-, mDC1"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD40+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c+, CD141+, CD1c-, CD303-, CD40+, HLA-DR+, Lin1-, mDC2"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD40-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c+, CD141+, CD1c-, CD303-, CD40-, HLA-DR+, Lin1-, mDC2"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD86+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c+, CD141+, CD1c-, CD303-, CD86+, HLA-DR+, Lin1-, mDC2"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c+, CD141-, CD1c+, CD303-, HLA-DR+, Lin1-, mDC1"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD2+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c+, CD141-, CD1c+, CD2+, CD303-, HLA-DR+, Lin1-, mDC1"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD2-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c+, CD141-, CD1c+, CD2-, CD303-, HLA-DR+, Lin1-, mDC1"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD40+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c+, CD141-, CD1c+, CD303-, CD40+, HLA-DR+, Lin1-, mDC1"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3-, CD1c+, CD40-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c+, CD141-, CD1c+, CD303-, CD40-, HLA-DR+, Lin1-, mDC1"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD2+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c+, CD2+, CD303-, HLA-DR+, Lin1-"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD2+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c+, CD141+, CD1c-, CD2+, CD303-, HLA-DR+, Lin1-, mDC2"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD2-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c+, CD2-, CD303-, HLA-DR+, Lin1-"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD40+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c+, CD303-, CD40+, HLA-DR+, Lin1-"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD40-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c+, CD303-, CD40-, HLA-DR+, Lin1-"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD86+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c+, CD303-, CD86+, HLA-DR+, Lin1-"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD86-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c+, CD303-, CD86-, HLA-DR+, Lin1-"
SLAN+,cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,SLAN+
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, ICOS+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD3+, CD4+, CD45RA-, CD8-, CXCR5-, ICOS+"
grans,cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,gran
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD2-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c+, CD141+, CD1c-, CD2-, CD303-, HLA-DR+, Lin1-, mDC2"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-, CD86-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c+, CD141+, CD1c-, CD303-, CD86-, HLA-DR+, Lin1-, mDC2"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+, CD1c-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c+, CD141+, CD1c-, CD303-, HLA-DR+, Lin1-, mDC2"
"CD3+, ICOS+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD3+, ICOS+"
"CD3+, CD4+, CD8-, HLA-DR+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD3+, CD4+, CD8-, HLA-DR+"
"CD3+, CD4+, CD8-, ICOS+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD3+, CD4+, CD8-, ICOS+"
"CD3+, CD4-, CD8+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD3+, CD4-, CD8+"
"CD3+, CD4-, CD8+, CCR6+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CCR6+, CD3+, CD4-, CD8+"
"CD3+, CD4-, CD8+, CXCR3+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD3+, CD4-, CD8+, CXCR3+"
"CD3+, CD4-, CD8+, CXCR5+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD3+, CD4-, CD8+, CXCR5+"
"CD3+, CD4-, CD8+, ICOS+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD3+, CD4-, CD8+, ICOS+"
"CD3+, HLA-DR+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD3+, HLA-DR+"
"CD3+, CD4-, CD8+, HLA-DR+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD3+, CD4-, CD8+, HLA-DR+"
"Lin1-, HLA-DR+, BDCA2+, CD11c-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c-, CD303+, HLA-DR+, Lin1-, pDC"
"Lin1-, HLA-DR+, BDCA2-, CD11c+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c+, CD303-, HLA-DR+, Lin1-"
"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD2+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c-, CD2+, CD303+, HLA-DR+, Lin1-, pDC"
"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD2-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c-, CD2-, CD303+, HLA-DR+, Lin1-, pDC"
"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD40+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c-, CD303+, CD40+, HLA-DR+, Lin1-, pDC"
"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD40-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c-, CD303+, CD40-, HLA-DR+, Lin1-, pDC"
"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD86+",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c-, CD303+, CD86+, HLA-DR+, Lin1-, pDC"
"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD86-",cells/ul,39,1,10,4,"0.0, 28.0, 7.0, 90.0",645,"CD11c-, CD303+, CD86-, HLA-DR+, Lin1-, pDC"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, CD1c+",ul,15,2,12,5,"0.0, 7.0, 90.0, 1.0, 28.0","372, 376","CD11c+, CD1c+, CD303-, HLA-DR+, Lin1-, mDC1"
"Lin1-, HLA-DR+, BDCA2-, CD11c+, BDCA3+",ul,15,2,12,5,"0.0, 7.0, 90.0, 1.0, 28.0","372, 376","CD11c+, CD141+, CD303-, HLA-DR+, Lin1-, mDC2"
"Singlet/WBC/Mono/CD14+/HLADR/CD16+, SLAN-",ul,14,1,13,2,"0.0, 180.0",387,"CD14+, CD16+, HLA-DR+, monocyte, singlet, SLAN-, WBC"
"Singlet/WBC/Mono/CD14+/HLADR/CD16+, SLAN+",ul,14,1,13,2,"0.0, 180.0",387,"CD14+, CD16+, HLA-DR+, monocyte, singlet, SLAN+, WBC"
"Singlet/WBC/Mono/CD14+/HLADR/CD16+, HLADR-",ul,14,1,13,2,"0.0, 180.0",387,"CD14+, CD16+, HLA-DR+, HLA-DR-, monocyte, singlet, WBC"
"Singlet/WBC/Mono/CD14+/HLADR/CD16+, HLADR+",ul,14,1,13,2,"0.0, 180.0",387,"CD14+, CD16+, HLA-DR+, monocyte, singlet, WBC"
"Singlet/WBC/Mono/CD14+/HLADR/CD16+, CD86+",ul,14,1,13,2,"0.0, 180.0",387,"CD14+, CD16+, CD86+, HLA-DR+, monocyte, singlet, WBC"
"Singlet/WBC/Mono/CD14+/HLADR/CD16+, CX3CR1-",ul,14,1,13,2,"0.0, 180.0",387,"CD14+, CD16+, CX3CR1-, HLA-DR+, monocyte, singlet, WBC"
"Singlet/WBC/Mono/CD14+/HLADR/CD16+, CX3CR1+",ul,14,1,13,2,"0.0, 180.0",387,"CD14+, CD16+, CX3CR1+, HLA-DR+, monocyte, singlet, WBC"
"Singlet/WBC/Mono/CD14+/HLADR/CD16+, CD86-",ul,14,1,13,2,"0.0, 180.0",387,"CD14+, CD16+, CD86-, HLA-DR+, monocyte, singlet, WBC"
"Singlet/WBC/Mono/CD14+/HLADR/CD16+, CD11b-",ul,14,1,13,2,"0.0, 180.0",387,"CD11b-, CD14+, CD16+, HLA-DR+, monocyte, singlet, WBC"
