Population Definition Reported,Cell Number Unit,Count,Unique_Studies,Unique_Patients,Unique_Timepoints,Timepoints_List,Study_IDs_List,Normalized_Definition,Intermediate_Population
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16+/CD11b+,Freq. of,CD14+CD16+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD11b+, CD14+, CD16+, CD86+, monocyte, singlet, WBC",Intermediate Monocytes
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16+,Freq. of,2-CD14+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD14+, CD16+, CD86+, monocyte, singlet, WBC",Intermediate Monocytes
"sing/WBC/lymono/Lin-DR+/SLAN+,Freq. of,WBC",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"HLA-DR+, Lin-, lymphocyte, monocyte, singlet, SLAN+, WBC",Non-classical Monocytes
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16+/CD62L+,Freq. of,CD14+CD16+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD14+, CD16+, CD62L+, CD86+, monocyte, singlet, WBC",Intermediate Monocytes
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16+/CD40+,Freq. of,CD14+CD16+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD14+, CD16+, CD40+, CD86+, monocyte, singlet, WBC",Intermediate Monocytes
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16+/CD86+,Freq. of,CD14+CD16+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD14+, CD16+, CD86+, monocyte, singlet, WBC",Intermediate Monocytes
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16-,Freq. of,2-CD14+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD14+, CD16-, CD86+, monocyte, singlet, WBC",Classical Monocytes
"ly/CD3+/CD8+/Ki67,Freq. of,CD8+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD8+, Ki67+, lymphocyte",CD8+ T cells (Other)
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16-/CD11b+,Freq. of,CD14+CD16-",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD11b+, CD14+, CD16-, CD86+, monocyte, singlet, WBC",Classical Monocytes
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+,Freq. of,2-WBC",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD14+, CD86+, monocyte, singlet, WBC",Monocytes (Unspecified)
"sing/WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q3: CD16+,, CD11b-,Freq. of,Neutr",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD11b-, CD16+, CD45+, gran, neutro, singlet, WBC",Granulocytes
"sing/WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q4: CD16-,, CD11b-,Freq. of,Neutr",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD11b-, CD16-, CD45+, gran, neutro, singlet, WBC",Granulocytes
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16-/CD62L+,Freq. of,CD14+CD16-",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD14+, CD16-, CD62L+, CD86+, monocyte, singlet, WBC",Classical Monocytes
"sing/CD45+/CD3+/CD4/Teff,Freq. of,CD4",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, singlet, Teff+",CD4+ T cells (Other)
"sing/CD45+/CD3+/CD4/non TFH,Freq. of,CD4",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, non+, singlet, TFH",T follicular helper (Tfh) cells
"sing/CD45+/CD3+/CD4/non TFH/1,Freq. of,CD4",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, non+, singlet, TFH1",T follicular helper (Tfh) cells
"sing/CD45+/CD3+/CD4/non TFH/1/ICOS,Freq. of,1",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, ICOS+, non+, singlet, TFH1",T follicular helper (Tfh) cells
"sing/CD45+/CD3+/CD4/non TFH/17/ICOS,Freq. of,17",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, ICOS+, non+, singlet, TFH17",T follicular helper (Tfh) cells
"sing/CD45+/CD3+/CD4/non TFH/2/ICOS,Freq. of,2",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, ICOS+, non+, singlet, TFH2",T follicular helper (Tfh) cells
"sing/CD45+/CD3+/CD4/non TFH/Q2: CCR6+,, CXCR3+,Freq. of,CD4",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CCR6+, CD3+, CD4+, CD45+, CXCR3+, non+, singlet, TFH",T follicular helper (Tfh) cells
"sing/CD45+/CD3+/CD4/non TFH/Q2: CCR6+,, CXCR3+/ICOS,Freq. of,Q2: CCR6+, CXCR3+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CCR6+, CD3+, CD4+, CD45+, CXCR3+, ICOS+, non+, singlet, TFH",T follicular helper (Tfh) cells
"sing/CD45+/CD3+/CD8,Freq. of,CD45+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD45+, CD8+, singlet",CD8+ T cells (Other)
"sing/CD45+/CD3+/CD8/CM,Freq. of,CD8",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD45+, CD8+, CM, singlet",Memory CD8+ T cells
"sing/CD45+/CD3+/CD8/EM,Freq. of,CD8",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD45+, CD8+, EM, singlet",Memory CD8+ T cells
"sing/CD45+/CD3+/CD8/ICOS,Freq. of,CD8",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD45+, CD8+, ICOS+, singlet",CD8+ T cells (Other)
"sing/CD45+/CD3+/CD8/Naive,Freq. of,CD8",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD45+, CD8+, naive, singlet",Naive CD8+ T cells
"sing/CD45+/CD3+/CD8/Teff,Freq. of,CD8",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD45+, CD8+, singlet, Teff+",CD8+ T cells (Other)
"sing/WBC/2-WBC/2-grans/Neu-CD45/Neutr,Freq. of,2-WBC",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD45+, gran, neutro, singlet, WBC",Granulocytes
"sing/WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q1: CD16-,, CD11b+,Freq. of,Neutr",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD11b+, CD16-, CD45+, gran, neutro, singlet, WBC",Granulocytes
"sing/WBC/2-WBC/2-grans/Neu-CD45/Neutr/Q2: CD16+,, CD11b+,Freq. of,Neutr",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD11b+, CD16+, CD45+, gran, neutro, singlet, WBC",Granulocytes
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16-/CD40+,Freq. of,CD14+CD16-",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD14+, CD16-, CD40+, CD86+, monocyte, singlet, WBC",Classical Monocytes
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14dimCD16+,Freq. of,2-CD14+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD14+, CD16+, CD86+, monocyte, singlet, WBC",Intermediate Monocytes
"ly/CD3+/CD8+/Q4: HLA-DR,, CD38,Freq. of,CD8+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD38+, CD8+, HLA-DR+, lymphocyte",CD8+ T cells (Other)
"ly/CD3+/CD8+/Q10: CD45RA+,, CCR7+,Freq. of,CD8+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD8+, lymphocyte, naive",Naive CD8+ T cells
"sing/WBC/CD19+SCC/CD19+/nQ3: CD27+,, IgD-,Freq. of,CD19+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"B_switched_memory, CD19+, CD27+, IgD-, singlet, WBC",Memory B cells
"sing/WBC/CD19+SCC/CD19+/nQ3: CD19+,, CD20-,Freq. of,CD19+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD19+, CD20-, singlet, WBC",B cells (Other)
"sing/WBC/CD19+SCC/CD19+/nQ2: CD27+,, IgD+,Freq. of,CD19+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"B_unswitched_memory, CD19+, CD27+, IgD+, singlet, WBC",Memory B cells
"sing/WBC/CD19+SCC/CD19+/nQ2: CD19+,, CD27+/nPlasmablast,Freq. of,CD19+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD19+, CD27+, plasmablast, singlet, WBC",Plasmablasts / Plasma cells
"sing/WBC/CD19+SCC/CD19+/nQ2: CD19+,, CD27+/Plasmacell,Freq. of,CD19+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD19+, CD27+, plasma_cell, singlet, WBC",Plasmablasts / Plasma cells
"sing/WBC/CD19+SCC/CD19+/nQ2: CD19+,, CD27+,Freq. of,CD19+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD19+, CD27+, singlet, WBC",B cells (Other)
"sing/WBC/CD19+SCC/CD19+/nQ2: CD19+,, CD20+,Freq. of,CD19+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD19+, CD20+, singlet, WBC",B cells (Other)
"sing/WBC/CD19+SCC/CD19+/nQ1: CD27-,, IgD+,Freq. of,CD19+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"B_naive, CD19+, CD27-, IgD+, singlet, WBC",Naive B cells
"sing/WBC/CD19+SCC/CD19+/nCD19hi,Freq. of,CD19+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD19+, nCD19+, singlet, WBC",B cells (Other)
"sing/WBC/lymono/Lin-DR+/SLAN+/Q10: SLAN+,, CD86+,Freq. of,SLAN+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD86+, HLA-DR+, Lin-, lymphocyte, monocyte, singlet, SLAN+, WBC",Non-classical Monocytes
"sing/WBC/CD19+SCC/CD19+/n transitional,Freq. of Parent",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD19+, n+, singlet, transitional+, WBC",B cells (Other)
"sing/WBC/CD19+SCC/CD19+,Freq. of,WBC",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD19+, singlet, WBC",B cells (Other)
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/dn,Freq. of,2-CD14+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD14+, CD14-, CD16-, CD86+, monocyte, singlet, WBC",Classical Monocytes
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14dimCD16+/CD86+,Freq. of,CD14dimCD16+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD14+, CD16+, CD86+, monocyte, singlet, WBC",Intermediate Monocytes
"sing/WBC/lymono/Lin-DR+/SLAN+/Q11: SLAN+,, CD86-,Freq. of,SLAN+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD86-, HLA-DR+, Lin-, lymphocyte, monocyte, singlet, SLAN+, WBC",Non-classical Monocytes
"sing/WBC/lymono/Lin-DR+/SLAN+/Q14: SLAN+,, CD14+,Freq. of,SLAN+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD14+, HLA-DR+, Lin-, lymphocyte, monocyte, singlet, SLAN+, WBC",Non-classical Monocytes
"sing/WBC/lymono/Lin-DR+/SLAN+/Q15: SLAN+,, CD14-,Freq. of,SLAN+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD14-, HLA-DR+, Lin-, lymphocyte, monocyte, singlet, SLAN+, WBC",Non-classical Monocytes
"sing/WBC/lymono/Lin-DR+/SLAN+/Q2: SLAN+,, CD11b+,Freq. of,SLAN+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD11b+, HLA-DR+, Lin-, lymphocyte, monocyte, singlet, SLAN+, WBC",Non-classical Monocytes
"sing/WBC/lymono/Lin-DR+/SLAN+/Q3: SLAN+,, CD11b-,Freq. of,SLAN+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD11b-, HLA-DR+, Lin-, lymphocyte, monocyte, singlet, SLAN+, WBC",Non-classical Monocytes
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14dimCD16+/CD62L+,Freq. of,CD14dimCD16+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD14+, CD16+, CD62L+, CD86+, monocyte, singlet, WBC",Intermediate Monocytes
"sing/WBC/lymono/Lin-DR+/SLAN+/Q6: SLAN+,, CD2+,Freq. of,SLAN+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD2+, HLA-DR+, Lin-, lymphocyte, monocyte, singlet, SLAN+, WBC",Non-classical Monocytes
"ly/CD3+/CD8+/Q2: HLA-DR+,, CD38+,Freq. of,CD8+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD38+, CD8+, HLA-DR+, lymphocyte",CD8+ T cells (Other)
"ly/CD3+/CD8+/Q11: CD45RA+,, CCR7,Freq. of,CD8+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD8+, lymphocyte, naive",Naive CD8+ T cells
"sing/CD45+/CD3+/CD4/TFH/Q2: CCR6+,, CXCR3+,Freq. of,TFH",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CCR6+, CD3+, CD4+, CD45+, CXCR3+, singlet, TFH",T follicular helper (Tfh) cells
"ly/CD3+/CD8+/Q3: HLA-DR+,, CD38,Freq. of,CD8+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD38+, CD8+, HLA-DR+, lymphocyte",CD8+ T cells (Other)
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14dimCD16+/CD40+,Freq. of,CD14dimCD16+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD14+, CD16+, CD40+, CD86+, monocyte, singlet, WBC",Intermediate Monocytes
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14dimCD16+/CD11b+,Freq. of,CD14dimCD16+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD11b+, CD14+, CD16+, CD86+, monocyte, singlet, WBC",Intermediate Monocytes
"sing/WBC/CD19+SCC/CD19+/nQ4: CD27-,, IgD-,Freq. of,CD19+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD19+, CD27-, IgD-, singlet, WBC",B cells (Other)
"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16-/CD86+,Freq. of,CD14+CD16-",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD14+, CD16-, CD86+, monocyte, singlet, WBC",Classical Monocytes
"sing/CD45+/CD3+/CD4/TFH/Q2: CCR6+,, CXCR3+/ICOS,Freq. of,Q2: CCR6+, CXCR3+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CCR6+, CD3+, CD4+, CD45+, CXCR3+, ICOS+, singlet, TFH",T follicular helper (Tfh) cells
"sing/CD45+/CD3+/CD4+/CD127loCD25+,Freq. of,CD4+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD127+, CD25+, CD3+, CD4+, CD45+, singlet",CD4+ T cells (Other)
"sing/CD45+/CD3+/CD4/TFH/ICOS,Freq. of,TFH",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, ICOS+, singlet, TFH",T follicular helper (Tfh) cells
"sing/CD45+/CD3+/CD4/TFH/2/ICOS,Freq. of Parent",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, CD45+, ICOS+, singlet, TFH2",T follicular helper (Tfh) cells
"ly/CD3+/CD8+/bcl2,Freq. of,CD8+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"bcl2+, CD3+, CD8+, lymphocyte",CD8+ T cells (Other)
"ly/CD3+/CD4+/bcl2,Freq. of,CD4+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"bcl2+, CD3+, CD4+, lymphocyte",CD4+ T cells (Other)
"ly/CD3+/CD4+/Q9: CD45RA,, CCR7+,Freq. of,CD4+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, lymphocyte, naive",Naive CD4+ T cells
"ly/CD3+/CD4+/Q8: K1-67,, bcl2di,Freq. of,CD4+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"bcl2+, CD3+, CD4+, Ki67+, lymphocyte",CD4+ T cells (Other)
"ly/CD3+/CD4+/Q7: K1-67+,, bcl2di,Freq. of,CD4+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"bcl2+, CD3+, CD4+, Ki67+, lymphocyte",CD4+ T cells (Other)
"ly/CD3+/CD8+/Q12: CD45RA,, CCR7,Freq. of,CD8+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD8+, lymphocyte, naive",Naive CD8+ T cells
"sing-F/sWBC/Lin2-DR+/grans-NK-/Q3: BDCA-2+/CD2-,Freq. of,Q3: BDCA-2+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD2-, CD303+, gran-, HLA-DR+, Lin2-, NK-, pDC, singlet, WBC",Plasmacytoid DCs (pDC)
"sing-F/sWBC/Lin2-DR+/grans-NK-/Q3: BDCA-2+/CD2+,Freq. of,Q3: BDCA-2+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD2+, CD303+, gran-, HLA-DR+, Lin2-, NK-, pDC, singlet, WBC",Plasmacytoid DCs (pDC)
"sing-F/sWBC/Lin2-DR+/grans-NK-/Q3: BDCA-2+,Freq. of,sWBC",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD303+, gran-, HLA-DR+, Lin2-, NK-, pDC, singlet, WBC",Plasmacytoid DCs (pDC)
"sing-F/sWBC/Lin2-DR+/grans-NK-/Q1:BDCA-3+/Q4: CD2-,, CD86-,Freq. of,Q1:BDCA-3+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD141+, CD2-, CD86-, gran-, HLA-DR+, Lin2-, mDC2, NK-, singlet, WBC",Myeloid DCs type 2 (mDC2)
"sing-F/sWBC/Lin2-DR+/grans-NK-/Q1:BDCA-3+/Q3: CD2+,, CD86-,Freq. of,Q1:BDCA-3+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD141+, CD2+, CD86-, gran-, HLA-DR+, Lin2-, mDC2, NK-, singlet, WBC",Myeloid DCs type 2 (mDC2)
"sing-F/sWBC/Lin2-DR+/grans-NK-/Q1:BDCA-3+/Q2: CD2+,, CD86+,Freq. of,Q1:BDCA-3+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD141+, CD2+, CD86+, gran-, HLA-DR+, Lin2-, mDC2, NK-, singlet, WBC",Myeloid DCs type 2 (mDC2)
"sing-F/sWBC/Lin2-DR+/grans-NK-/Q1:BDCA-3+/Q1: CD2-,, CD86+,Freq. of,Q1:BDCA-3+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD141+, CD2-, CD86+, gran-, HLA-DR+, Lin2-, mDC2, NK-, singlet, WBC",Myeloid DCs type 2 (mDC2)
"sing-F/sWBC/Lin2-DR+/grans-NK-/Q1:BDCA-3+/CD2-,Freq. of,Q1:BDCA-3+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD141+, CD2-, gran-, HLA-DR+, Lin2-, mDC2, NK-, singlet, WBC",Myeloid DCs type 2 (mDC2)
"sing-F/sWBC/Lin2-DR+/grans-NK-/Q1:BDCA-3+/CD2+,Freq. of,Q1:BDCA-3+",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD141+, CD2+, gran-, HLA-DR+, Lin2-, mDC2, NK-, singlet, WBC",Myeloid DCs type 2 (mDC2)
"sing-F/sWBC/Lin2-DR+/grans-NK-/Q1:BDCA-3+,Freq. of,sWBC",cells/ul,48,1,6,8,"-7.0, 0.0, 0.5, 1.0, 10.0, 28.0, 3.0, 7.0",180,"CD141+, gran-, HLA-DR+, Lin2-, mDC2, NK-, singlet, WBC",Myeloid DCs type 2 (mDC2)
"ly/CD3+/CD4+/Q6: K1-67+,, bcl2bri,Freq. of,CD4+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"bcl2+, CD3+, CD4+, Ki67+, lymphocyte",CD4+ T cells (Other)
"ly/CD3+/CD4+/Q5: K1-67,, bcl2bri,Freq. of,CD4+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"bcl2+, CD3+, CD4+, Ki67+, lymphocyte",CD4+ T cells (Other)
"ly/CD3+/CD4+/Q4: HLA-DR,, CD38,Freq. of,CD4+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD38+, CD4+, HLA-DR+, lymphocyte",CD4+ T cells (Other)
"ly/CD3+/CD4+/Q3: HLA-DR+,, CD38,Freq. of,CD4+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD38+, CD4+, HLA-DR+, lymphocyte",CD4+ T cells (Other)
"ly/CD3+/CD4+/Q2: HLA-DR+,, CD38+,Freq. of,CD4+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD38+, CD4+, HLA-DR+, lymphocyte",CD4+ T cells (Other)
"ly/CD3+/CD4+/Q1: HLA-DR,, CD38+,Freq. of,CD4+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD38+, CD4+, HLA-DR+, lymphocyte",CD4+ T cells (Other)
"ly/CD3+/CD4+/Q12: CD45RA,, CCR7,Freq. of,CD4+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, lymphocyte, naive",Naive CD4+ T cells
"ly/CD3+/CD4+/Q11: CD45RA+,, CCR7,Freq. of,CD4+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, lymphocyte, naive",Naive CD4+ T cells
"ly/CD3+/CD4+/Q10: CD45RA+,, CCR7+,Freq. of,CD4+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, lymphocyte, naive",Naive CD4+ T cells
"ly/CD3+/CD4+/Ki67,Freq. of,CD4+",cells/ul,48,1,6,8,"0.0, 1.0, 10.0, 14.0, 21.0, 28.0, 3.0, 7.0",180,"CD3+, CD4+, Ki67+, lymphocyte",CD4+ T cells (Other)
