Population Definition Reported,count
"CD3+, CD8+, CCR7+, CD45RA-",60
CD16+ neutrophil,60
"CD14+, SLAN+",60
"CD14+, HLADR+",60
"CD14+, HLA-DR+, CX3CR1hi",60
"Lin1-, HLA-DR+",60
"CD3+, CD8+",60
"WBC/2-WBC/lymono/monos/CD14dimCD16+/CD11b+,Freq. of,CD14dimCD16+",54
"CD45+/CD3+/CD4/ICOS,Freq. of,CD4",54
"sWBC/lymono/Lin2-Dr+/Q1: BDCA-1+/Q5: CD45RA,, CD4+,Freq. of,Q1: BDCA-1+",54
"CD45+/CD3+/CD4/TFH/1/ICOS,Freq. of,1",54
"CD45+/CD3+/CD4/TFH/2/ICOS,Freq. of,2",54
"CD45+/CD3+/CD4/TFH/17/ICOS,Freq. of,17",54
"CD45+/CD3+/CD4/TFH/Q2: CCR6+,, CXCR3+/ICOS,Freq. of,Q2: CCR6+, CXCR3+",54
"CD45+/CD3+/CD4/non TFH,Freq. of,CD4",54
"CD45+/CD3+/CD4/TFH/Q2: CCR6+,, CXCR3+,Freq. of,TFH",54
"CD45+/CD3+/CD4/non TFH/1,Freq. of,CD4",54
"CD45+/CD3+/CD4/non TFH/Q2: CCR6+,, CXCR3+,Freq. of,CD4",54
"WBC/CD19+SCC/CD19+/nQ2: CD19+,, CD27+/nPlasmacell,Freq. of,CD19+",54
"WBC/CD19+SCC/CD19+/nQ2: CD19+,, CD27+/nPlasmablast,Freq. of,CD19+",54
"WBC/CD19+SCC/CD19+/n transitional,Freq. of,CD19+",54
"WBC/CD19+SCC/CD19+/nQ2: CD19+,, CD27+,Freq. of,CD19+",54
"CD45+/CD3+/CD4/TFH/ICOS,Freq. of,TFH",54
"CD45+/CD3+/CD4/TFH/17,Freq. of,TFH",54
"WBC/2-WBC/lymono/monos/CD14dimCD16+/CD40+,Freq. of,CD14dimCD16+",54
"CD45+/CD3+/CD4/TFH/2,Freq. of,TFH",54
"CD45+/CD3+/CD4/TFH/1,Freq. of,TFH",54
"CD45+/CD3+/CD4/TFH,Freq. of,CD4",54
"WBC/CD19+SCC/CD19+/nQ2: CD19+,, CD20+,Freq. of,CD19+",54
"sWBC/lymono/Lin2-Dr+/Q1: BDCA-1+/CD2-,Freq. of,Q1: BDCA-1+",54
"WBC/2-WBC/lymono/monos/CD14+CD16+/CD86+,Freq. of,CD14+CD16+",54
"WBC/2-WBC/lymono/monos/CD14+CD16-/CD11b+,Freq. of,CD14+CD16-",54
"WBC/2-WBC/lymono/monos/CD14+CD16-/CD40+,Freq. of,CD14+CD16-",54
"CD45+/CD3+/CD8,Freq. of,CD45+",54
"CD45+/CD3+,Freq. of,CD45+",54
"WBC/2-WBC/lymono/monos/CD14dimCD16+/CD86+,Freq. of,CD14dimCD16+",54
