Population Definition Reported,Normalized_Definition
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6-","CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5+"
"CD3+, CD4-, CD8+, CCR6+","CCR6+, CD3+, CD4-, CD8+"
"CD3+, ICOS+","CD3+, ICOS+"
"CD3+, CD4+, CD8-, CXCR5-, CD45RA-, CXCR3-, CCR6-","CCR6-, CD3+, CD4+, CD45RA-, CD8-, CXCR3-, CXCR5-"
"Lin1-, HLA-DR+, BDCA2+, CD11c-, CD2-","BDCA2+, CD11c-, CD2-, HLA-DR+, Lin1-"
"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6+, ICOS+","CCR6+, CD3+, CD4+, CD45RA-, CD8-, CXCR3+, CXCR5+, ICOS+"
"CD19+, CD3-, CD14-, CD20+","CD14-, CD19+, CD20+, CD3-"
CD16- gran,"CD16-, gran"
CD16+ gran,"CD16+, gran"
"CD14lo, HLA-DR+, CD16-","CD14+, CD16-, HLA-DR+"
"CD14lo, HLA-DR+, CD16+","CD14+, CD16+, HLA-DR+"
"CD14+, HLA-DRlo, CD16-","CD14+, CD16-, HLA-DR+"
"CD14+, HLA-DRlo, CD16+","CD14+, CD16+, HLA-DR+"
"CD14+, HLA-DRhi, CD16-","CD14+, CD16-, HLA-DR+"
"CD14+, HLA-DRhi CD16+","CD14+, CD16+, HLA-DR+"
"CD14+, HLA-DR+, CD40+","CD14+, CD40+, HLA-DR+"
"CD14+, HLA-DR+, CD16-, SLAN-","CD14+, CD16-, HLA-DR+, SLAN-"
"CD14+, HLA-DR+, CD16-, SLAN+","CD14+, CD16-, HLA-DR+, SLAN+"
"CD14+, HLA-DR+, CD16-, CX3CR1-","CD14+, CD16-, CX3CR1-, HLA-DR+"
"CD14+, HLA-DR+, CD16-, CX3CR1+","CD14+, CD16-, CX3CR1+, HLA-DR+"
"CD14+, HLA-DR+, CD16-, CD86-","CD14+, CD16-, CD86-, HLA-DR+"
"CD14+, HLA-DR+, CD16-, CD86+","CD14+, CD16-, CD86+, HLA-DR+"
"CD14+, HLA-DR+, CD16-, CD11b-","CD11b-, CD14+, CD16-, HLA-DR+"
"CD14+, HLA-DR+, CD16-, CD11b+","CD11b+, CD14+, CD16-, HLA-DR+"
"CD14+, HLA-DR+, CD16-","CD14+, CD16-, HLA-DR+"
"CD14+, HLA-DR+, CD16+, SLAN-","CD14+, CD16+, HLA-DR+, SLAN-"
"CD14+, HLA-DR+, CD16+, SLAN+","CD14+, CD16+, HLA-DR+, SLAN+"
"CD14+, HLA-DR+, CD16+, CX3CR1-","CD14+, CD16+, CX3CR1-, HLA-DR+"
"CD14+, HLA-DR+, CD16+, CX3CR1+","CD14+, CD16+, CX3CR1+, HLA-DR+"
